"date","close","volume","open","high","low"
"2010/02/01","66.1800","37661500.0000","65.7700","66.4100","65.3500"
"2010/01/29","64.4300","40844620.0000","65.1500","65.8200","64.0200"
"2010/01/28","64.9600","37331420.0000","65.8500","65.8500","64.5700"
"2010/01/27","65.5400","35722260.0000","65.6600","66.0600","65.0000"
"2010/01/26","65.9200","34082820.0000","65.6400","66.7400","65.5000"
"2010/01/25","65.8500","29287220.0000","66.5500","66.7600","65.6900"
"2010/01/22","66.1000","39066460.0000","66.5200","67.1400","66.0000"
"2010/01/21","66.7000","39113710.0000","68.1200","68.1500","66.5000"
"2010/01/20","68.0300","34628670.0000","68.5600","68.6600","67.9325"
"2010/01/19","69.2700","25904330.0000","68.7400","69.3500","68.4200"
"2010/01/15","69.1100","29315400.0000","69.6500","69.6900","68.6500"
"2010/01/14","69.6800","18630640.0000","69.5400","69.7400","69.3500"
"2010/01/13","69.6700","24884360.0000","69.9600","70.0400","69.2600"
"2010/01/12","69.9500","31491530.0000","69.7200","69.9900","69.5200"
"2010/01/11","70.3000","30671420.0000","69.9400","70.5200","69.6500"
"2010/01/08","69.5200","24888380.0000","69.6900","69.7500","69.2200"
"2010/01/07","69.8000","27170380.0000","69.9000","70.0600","69.4150"
"2010/01/06","70.0200","35044510.0000","69.4500","70.6000","69.3400"
"2010/01/05","69.4200","30173720.0000","69.1900","69.4500","68.8000"
"2010/01/04","69.1500","27809020.0000","68.7200","69.2600","68.1900"
"2009/12/31","68.1900","18837460.0000","68.8400","68.8600","68.1100"
"2009/12/30","68.7700","19860600.0000","68.7100","68.9600","68.3900"
"2009/12/29","68.8400","19985630.0000","69.2800","69.4000","68.8000"
"2009/12/28","69.0800","19694570.0000","69.0800","69.1200","68.7400"
"2009/12/24","68.6600","8149156.0000","68.3500","68.7500","68.1600"
"2009/12/23","68.2600","18958650.0000","68.7500","68.7800","68.2000"
"2009/12/22","68.5700","27940560.0000","68.6200","69.2110","68.5000"
"2009/12/21","68.5100","34408340.0000","68.4700","68.7467","68.2200"
